applicant_name,jamb_reg_number,utme_score,olevel_math,olevel_english,olevel_subject_1,olevel_grade_1,olevel_subject_2,olevel_grade_2,olevel_subject_3,olevel_grade_3,olevel_avg_score,course_applied,departmental_cutoff,outcome
Kelvin Abubakar,202507925241CF,234,C4,B3,Mathematics,F9,Physics,C5,Further Mathematics,C4,2.6,Civil Engineering,210,ALTERNATIVE_COURSE
Ngozi Okonkwo,202522086353HJ,226,C5,A1,Mathematics,D7,Economics,A1,Further Mathematics,A1,4.0,Accounting,200,ALTERNATIVE_COURSE
Fatima Bello,202580617445CF,207,B3,A1,Biology,B3,Chemistry,C4,Further Mathematics,D7,3.6,Nursing Science,200,ALTERNATIVE_COURSE
Grace Ibrahim,202559738320HJ,180,C4,B3,Mathematics,B3,Economics,C6,Further Mathematics,C5,3.4,Economics,190,BORDERLINE
Emmanuel Anyanwu,202564138367CF,156,B2,B3,Mathematics,C6,Physics,D7,Further Mathematics,E8,2.8,Computer Science,200,REJECTED
Ngozi Ibrahim,202519182619CF,194,C5,A1,Literature,E8,Government,D7,Further Mathematics,C4,2.8,Law,220,REJECTED
Solomon Musa,202555743132CF,239,C5,B2,English Language,B3,Literature,D7,Further Mathematics,E8,2.8,Mass Communication,180,REJECTED
Ibrahim Ibrahim,202547411249CF,217,B2,C4,Literature,B3,Government,B2,Further Mathematics,B3,3.8,Law,220,BORDERLINE
Kelvin Okafor,202544206788EG,166,C6,B3,Mathematics,A1,Economics,B2,Further Mathematics,B3,4.0,Accounting,200,REJECTED
Grace Nwosu,202536519941CF,216,C4,C6,Biology,B2,Chemistry,A1,Further Mathematics,C6,3.6,Medicine and Surgery,280,BORDERLINE
Victor Adeyemi,202507029667CF,223,B2,C5,Biology,C6,Chemistry,A1,Further Mathematics,C6,3.6,Medicine and Surgery,280,BORDERLINE
Oluwaseun Okafor,202599934768HJ,179,C5,B2,English Language,B2,Literature,B2,Further Mathematics,B3,3.8,Mass Communication,180,REJECTED
Grace Ogundele,202580657875FG,215,A1,B3,Mathematics,C4,Physics,C5,Further Mathematics,C6,3.6,Computer Science,200,QUALIFIED
Daniel Okafor,202578593213EG,212,B3,A1,English Language,C4,Literature,A1,Further Mathematics,C6,4.0,Mass Communication,180,QUALIFIED
Peter Olawale,202565223955CF,169,C4,C6,Mathematics,C5,Physics,C6,Further Mathematics,E8,2.6,Civil Engineering,210,REJECTED
Chioma Chukwu,202542701039EG,222,E8,C4,Biology,C4,Chemistry,B2,Further Mathematics,F9,2.2,Nursing Science,200,REJECTED
Fatima Nzekwe,202550029218FG,229,C4,A1,Mathematics,D7,Physics,B2,Further Mathematics,B2,3.6,Computer Science,200,ALTERNATIVE_COURSE
Oluwaseun Nwosu,202567528953EG,247,B3,E8,Biology,B3,Chemistry,B2,Further Mathematics,B3,3.4,Medicine and Surgery,280,ALTERNATIVE_COURSE
Peter Okonkwo,202590295939CF,246,B3,C5,English Language,B2,Literature,C5,Further Mathematics,E8,3.0,Mass Communication,180,ALTERNATIVE_COURSE
Chukwuemeka Olawale,202557043315FG,161,B2,C5,Economics,B2,Commerce,F9,Further Mathematics,B2,3.0,Business Administration,180,REJECTED
Adaeze Ibrahim,202565861793EG,177,C5,A1,Biology,C4,Chemistry,C4,Further Mathematics,B2,3.6,Medicine and Surgery,280,REJECTED
Chukwuemeka Abubakar,202526218159HJ,228,A1,C6,Economics,B3,Commerce,B3,Further Mathematics,E8,3.4,Business Administration,180,ALTERNATIVE_COURSE
Victor Bello,202536884443CF,227,C4,C5,Mathematics,C5,Physics,C4,Further Mathematics,A1,3.4,Computer Science,200,QUALIFIED
Chukwuemeka Eze,202597310324CF,228,B3,C4,Mathematics,C4,Physics,A1,Further Mathematics,A1,4.0,Computer Science,200,QUALIFIED
Chukwuemeka Ogundele,202586256527CF,320,C6,B3,Economics,B3,Commerce,C4,Further Mathematics,C5,3.4,Business Administration,180,QUALIFIED
Amaka Adeyemi,202558693806HJ,229,C4,B3,Mathematics,C6,Physics,C4,Further Mathematics,B2,3.4,Civil Engineering,210,QUALIFIED
Solomon Nzekwe,202508989921HJ,249,C5,E8,Mathematics,C4,Economics,B2,Further Mathematics,B3,3.0,Economics,190,ALTERNATIVE_COURSE
Chukwuemeka Ogundele,202563294511HJ,243,E8,B2,Literature,B2,Government,B2,Further Mathematics,A1,3.6,Law,220,ALTERNATIVE_COURSE
Funmilayo Adeleke,202586162299CF,232,B3,B3,Mathematics,B3,Economics,C4,Further Mathematics,D7,3.4,Economics,190,ALTERNATIVE_COURSE
Adaeze Eze,202567997024HJ,198,C4,B2,Biology,B3,Chemistry,C4,Further Mathematics,B3,3.6,Medicine and Surgery,280,BORDERLINE
Grace Okafor,202574505444HJ,236,C5,C5,Literature,C4,Government,B3,Further Mathematics,D7,3.0,Law,220,ALTERNATIVE_COURSE
Victor Eze,202569137367FG,182,F9,B2,Biology,B3,Chemistry,C5,Further Mathematics,C6,2.8,Medicine and Surgery,280,ALTERNATIVE_COURSE
Kelvin Nzekwe,202590233030HJ,201,C4,B2,Mathematics,B3,Physics,C4,Further Mathematics,B2,3.6,Computer Science,200,QUALIFIED
Amaka Ogundele,202503579727FG,193,D7,C5,Mathematics,B3,Physics,C6,Further Mathematics,C4,3.0,Computer Science,200,ALTERNATIVE_COURSE
Solomon Okafor,202529333346CF,212,B2,D7,Biology,C5,Chemistry,C5,Further Mathematics,B3,3.2,Nursing Science,200,ALTERNATIVE_COURSE
Funmilayo Anyanwu,202544665743HJ,291,C4,B2,Mathematics,B2,Physics,C6,Further Mathematics,B2,3.6,Computer Science,200,QUALIFIED
Ngozi Chukwu,202599441715FG,144,C5,C6,Mathematics,B3,Physics,B2,Further Mathematics,C4,3.4,Civil Engineering,210,REJECTED
Oluwaseun Chukwu,202530965207FG,234,D7,B3,Biology,C5,Chemistry,D7,Further Mathematics,B3,3.0,Nursing Science,200,REJECTED
Ibrahim Abubakar,202538758428EG,153,D7,C4,Mathematics,C5,Physics,C4,Further Mathematics,F9,2.2,Civil Engineering,210,REJECTED
Fatima Ogundele,202551353465FG,193,A1,B2,Mathematics,B3,Physics,C6,Further Mathematics,C6,3.8,Civil Engineering,210,BORDERLINE
Peter Adeleke,202517381684HJ,248,C4,C4,Mathematics,B2,Physics,A1,Further Mathematics,C5,3.6,Civil Engineering,210,QUALIFIED
Tunde Nwosu,202552175250CF,212,D7,B2,Mathematics,F9,Physics,B3,Further Mathematics,F9,2.0,Computer Science,200,REJECTED
Chukwuemeka Nwosu,202596666760CF,172,B3,C6,Economics,B2,Commerce,C6,Further Mathematics,C4,3.4,Business Administration,180,REJECTED
Ibrahim Okafor,202503354216FG,184,B2,B3,Mathematics,A1,Economics,B3,Further Mathematics,C6,4.0,Economics,190,BORDERLINE
Kelvin Abubakar,202562575326CF,233,A1,A1,Literature,E8,Government,C4,Further Mathematics,C4,3.4,Law,220,ALTERNATIVE_COURSE
Amaka Abubakar,202506489090CF,184,B2,F9,Mathematics,B2,Economics,A1,Further Mathematics,C4,3.2,Accounting,200,ALTERNATIVE_COURSE
Oluwaseun Bello,202504618499EG,217,A1,B2,Mathematics,C4,Physics,B2,Further Mathematics,B3,4.0,Computer Science,200,QUALIFIED
Amaka Ibrahim,202539348356FG,211,C6,B2,English Language,C5,Literature,B2,Further Mathematics,B2,3.6,Mass Communication,180,QUALIFIED
Emmanuel Okafor,202511972181CF,187,A1,C4,Literature,B2,Government,E8,Further Mathematics,B3,3.4,Law,220,ALTERNATIVE_COURSE
Fatima Olawale,202504556110CF,285,C5,C4,Mathematics,F9,Physics,B3,Further Mathematics,A1,3.0,Civil Engineering,210,ALTERNATIVE_COURSE
Chukwuemeka Abubakar,202552166746HJ,232,C5,B2,Literature,B3,Government,C4,Further Mathematics,C5,3.4,Law,220,QUALIFIED
Fatima Adeyemi,202569797296FG,139,C5,C6,English Language,B2,Literature,C5,Further Mathematics,A1,3.6,Mass Communication,180,REJECTED
Chioma Adeyemi,202567014508EG,216,A1,C5,Mathematics,C6,Fine Art,F9,Further Mathematics,B2,3.0,Architecture,200,ALTERNATIVE_COURSE
Chioma Abubakar,202562890028HJ,186,C4,C5,Biology,C5,Chemistry,C4,Further Mathematics,C5,3.0,Nursing Science,200,BORDERLINE
Blessing Chukwu,202538663177HJ,239,D7,A1,Economics,C4,Commerce,B2,Further Mathematics,F9,2.8,Business Administration,180,REJECTED
Amaka Okonkwo,202560880199FG,182,D7,C4,Biology,B2,Chemistry,C4,Further Mathematics,C5,3.0,Medicine and Surgery,280,ALTERNATIVE_COURSE
Grace Olawale,202575899757CF,205,C4,C5,Mathematics,C4,Economics,B3,Further Mathematics,C6,3.2,Economics,190,QUALIFIED
Josephine Chukwu,202585102726CF,227,C6,B2,Biology,B3,Chemistry,C6,Further Mathematics,E8,3.0,Medicine and Surgery,280,ALTERNATIVE_COURSE
Ibrahim Musa,202551609177EG,240,C5,B2,Mathematics,E8,Physics,B3,Further Mathematics,C4,3.0,Civil Engineering,210,ALTERNATIVE_COURSE
Kelvin Anyanwu,202529221699FG,167,A1,C5,Economics,C4,Commerce,C4,Further Mathematics,C4,3.4,Business Administration,180,REJECTED
Solomon Abubakar,202547226984FG,198,D7,C4,Mathematics,C5,Economics,C5,Further Mathematics,B2,3.0,Economics,190,ALTERNATIVE_COURSE
Oluwaseun Musa,202528851587HJ,193,C5,B2,Mathematics,C5,Economics,B3,Further Mathematics,B3,3.6,Economics,190,QUALIFIED
Oluwaseun Okafor,202503424420FG,187,B3,C6,Mathematics,C6,Economics,C4,Further Mathematics,A1,3.6,Economics,190,BORDERLINE
Aisha Olawale,202538638406HJ,271,C6,A1,Mathematics,C6,Economics,B2,Further Mathematics,D7,3.4,Accounting,200,ALTERNATIVE_COURSE
Daniel Bello,202597359893EG,224,E8,F9,English Language,B3,Literature,C4,Further Mathematics,A1,2.6,Mass Communication,180,REJECTED
Amaka Okonkwo,202506484229FG,165,C4,F9,Mathematics,A1,Physics,E8,Further Mathematics,C5,2.4,Civil Engineering,210,REJECTED
Blessing Anyanwu,202594798515EG,242,B3,C5,Mathematics,B2,Physics,B2,Further Mathematics,B3,3.8,Computer Science,200,QUALIFIED
Ngozi Bello,202535554398HJ,284,C4,C6,Literature,B2,Government,C4,Further Mathematics,C4,3.2,Law,220,QUALIFIED
Funmilayo Nzekwe,202593056164FG,246,C6,F9,Mathematics,A1,Economics,C5,Further Mathematics,C4,2.8,Economics,190,ALTERNATIVE_COURSE
Blessing Eze,202535811288CF,156,D7,C6,Mathematics,B3,Physics,C6,Further Mathematics,C4,3.0,Computer Science,200,REJECTED
Ibrahim Chukwu,202561207501CF,193,B2,C5,Biology,B2,Chemistry,C5,Further Mathematics,C6,3.4,Medicine and Surgery,280,BORDERLINE
Adaeze Okonkwo,202576650618CF,254,B2,B3,Mathematics,A1,Physics,C6,Further Mathematics,D7,3.6,Computer Science,200,ALTERNATIVE_COURSE
Kelvin Adeyemi,202544914766CF,185,A1,C5,Mathematics,A1,Fine Art,C6,Further Mathematics,B3,4.0,Architecture,200,BORDERLINE
Josephine Ogundele,202524508821CF,225,B2,B2,Economics,C5,Commerce,C6,Further Mathematics,C6,3.4,Business Administration,180,QUALIFIED
Ngozi Bello,202568222394EG,237,C4,B3,Mathematics,C4,Physics,A1,Further Mathematics,B2,3.8,Computer Science,200,QUALIFIED
Aisha Ibrahim,202581414139HJ,177,B2,C6,Biology,D7,Chemistry,D7,Further Mathematics,E8,2.4,Medicine and Surgery,280,REJECTED
Ibrahim Abubakar,202577594929FG,207,B3,C5,Biology,B2,Chemistry,B3,Further Mathematics,A1,4.0,Nursing Science,200,QUALIFIED
Adaeze Eze,202552577754HJ,120,E8,B2,Biology,B3,Chemistry,C6,Further Mathematics,C5,3.0,Nursing Science,200,REJECTED
Aisha Bello,202541108099HJ,174,B2,C5,Mathematics,A1,Economics,B3,Further Mathematics,C6,3.8,Economics,190,REJECTED
Oluwaseun Abubakar,202563942788CF,201,B2,A1,Mathematics,B3,Fine Art,D7,Further Mathematics,C4,3.6,Architecture,200,ALTERNATIVE_COURSE
Fatima Anyanwu,202582722992HJ,166,B3,A1,English Language,B2,Literature,E8,Further Mathematics,F9,2.8,Mass Communication,180,REJECTED
Ibrahim Chukwu,202556770051FG,267,A1,C6,Biology,B2,Chemistry,B3,Further Mathematics,B2,4.0,Nursing Science,200,QUALIFIED
Chukwuemeka Chukwu,202546386557HJ,159,C4,C4,Mathematics,B3,Physics,B3,Further Mathematics,C4,3.4,Civil Engineering,210,REJECTED
Daniel Bello,202522259136FG,194,A1,D7,Mathematics,C4,Fine Art,B2,Further Mathematics,C4,3.4,Architecture,200,ALTERNATIVE_COURSE
Emmanuel Bello,202502992280EG,214,C4,C4,Biology,B2,Chemistry,B2,Further Mathematics,C6,3.4,Medicine and Surgery,280,BORDERLINE
Emmanuel Nzekwe,202541379772EG,260,B2,E8,Mathematics,C4,Physics,C4,Further Mathematics,E8,2.4,Computer Science,200,REJECTED
Daniel Nwosu,202557991366EG,159,C5,C6,English Language,C6,Literature,B2,Further Mathematics,C5,3.2,Mass Communication,180,REJECTED
Funmilayo Adeyemi,202527990881CF,250,A1,C4,Biology,D7,Chemistry,C5,Further Mathematics,C6,3.2,Medicine and Surgery,280,ALTERNATIVE_COURSE
Adaeze Chukwu,202565086376FG,210,C5,D7,Economics,C4,Commerce,A1,Further Mathematics,E8,2.8,Business Administration,180,REJECTED
Daniel Ibrahim,202531498643CF,175,C6,D7,Mathematics,C6,Fine Art,C4,Further Mathematics,C4,2.8,Architecture,200,REJECTED
Victor Okonkwo,202551269448HJ,226,C4,B2,Mathematics,A1,Physics,C5,Further Mathematics,C5,3.6,Computer Science,200,QUALIFIED
Aisha Ibrahim,202525887449FG,216,B3,B3,Mathematics,C5,Fine Art,C6,Further Mathematics,C4,3.4,Architecture,200,QUALIFIED
Fatima Adeyemi,202538658902HJ,188,C5,D7,English Language,C5,Literature,C5,Further Mathematics,C4,2.8,Mass Communication,180,ALTERNATIVE_COURSE
Daniel Bello,202551906698FG,212,C6,C6,Mathematics,C4,Physics,C5,Further Mathematics,A1,3.4,Computer Science,200,QUALIFIED
Kelvin Eze,202530988392CF,196,A1,C6,Mathematics,B2,Fine Art,C4,Further Mathematics,A1,4.0,Architecture,200,BORDERLINE
Ngozi Ogundele,202566938011FG,213,B2,A1,Biology,B2,Chemistry,F9,Further Mathematics,C6,3.2,Nursing Science,200,ALTERNATIVE_COURSE
Ibrahim Ibrahim,202569042681CF,233,D7,B3,Mathematics,E8,Economics,B3,Further Mathematics,C5,2.8,Economics,190,REJECTED
Peter Eze,202576973577CF,265,B3,E8,Mathematics,C6,Economics,E8,Further Mathematics,D7,2.2,Economics,190,REJECTED
Grace Anyanwu,202556588043FG,166,B2,A1,Economics,C5,Commerce,F9,Further Mathematics,C5,3.0,Business Administration,180,REJECTED
Victor Abubakar,202539423733EG,284,B3,C5,Biology,B3,Chemistry,C4,Further Mathematics,B2,3.6,Medicine and Surgery,280,QUALIFIED
Amaka Adeyemi,202517908075FG,141,B2,B2,Mathematics,B2,Physics,C5,Further Mathematics,B2,3.8,Civil Engineering,210,REJECTED
Kelvin Eze,202563920867CF,204,D7,D7,Economics,C4,Commerce,B3,Further Mathematics,B2,3.0,Business Administration,180,REJECTED
Kelvin Ibrahim,202550036915FG,230,B3,D7,Mathematics,C6,Economics,C4,Further Mathematics,B2,3.2,Economics,190,ALTERNATIVE_COURSE
Victor Abubakar,202527636556FG,219,D7,B2,Mathematics,B3,Fine Art,B3,Further Mathematics,E8,3.0,Architecture,200,REJECTED
Daniel Anyanwu,202538663227CF,188,B2,B2,Economics,C4,Commerce,B2,Further Mathematics,A1,4.0,Business Administration,180,QUALIFIED
Victor Anyanwu,202574489061EG,202,C4,B2,Literature,D7,Government,C5,Further Mathematics,C4,3.0,Law,220,ALTERNATIVE_COURSE
Daniel Abubakar,202558845061FG,192,B2,B3,Mathematics,C6,Physics,A1,Further Mathematics,C5,3.8,Computer Science,200,BORDERLINE
Ngozi Abubakar,202587716947EG,189,B2,C4,Mathematics,C5,Fine Art,B2,Further Mathematics,C6,3.4,Architecture,200,BORDERLINE
Chukwuemeka Adeyemi,202525355449HJ,239,C5,E8,Literature,C4,Government,C5,Further Mathematics,C4,2.6,Law,220,ALTERNATIVE_COURSE
Tunde Okonkwo,202522023413EG,222,D7,C6,Mathematics,E8,Physics,C5,Further Mathematics,C4,2.4,Civil Engineering,210,REJECTED
Solomon Chukwu,202511492164EG,185,B2,A1,English Language,D7,Literature,C4,Further Mathematics,A1,3.8,Mass Communication,180,ALTERNATIVE_COURSE
Blessing Ogundele,202555778487EG,241,C5,C4,Mathematics,B2,Economics,C4,Further Mathematics,B2,3.4,Accounting,200,QUALIFIED
Kelvin Ogundele,202584578317FG,220,B2,C4,Mathematics,C5,Economics,C5,Further Mathematics,C4,3.2,Economics,190,QUALIFIED
Oluwaseun Abubakar,202547807740HJ,238,C4,B2,Biology,A1,Chemistry,C4,Further Mathematics,C6,3.6,Nursing Science,200,QUALIFIED
Adaeze Okonkwo,202532663416EG,232,C4,C6,Mathematics,C4,Physics,B2,Further Mathematics,D7,3.0,Civil Engineering,210,ALTERNATIVE_COURSE
Aisha Anyanwu,202546312241HJ,180,C6,D7,Mathematics,C6,Economics,C5,Further Mathematics,B3,3.0,Economics,190,ALTERNATIVE_COURSE
Aisha Okafor,202521442703CF,190,C4,C5,Mathematics,C4,Fine Art,B3,Further Mathematics,B2,3.4,Architecture,200,BORDERLINE
Ngozi Ibrahim,202505120461HJ,236,A1,B2,Literature,C4,Government,C6,Further Mathematics,C4,3.6,Law,220,QUALIFIED
Grace Okonkwo,202573037183HJ,231,B2,C6,Literature,C6,Government,C6,Further Mathematics,B2,3.4,Law,220,QUALIFIED
Aisha Chukwu,202514743503CF,209,C5,B3,English Language,B3,Literature,C5,Further Mathematics,A1,3.8,Mass Communication,180,QUALIFIED
Grace Okafor,202509792513EG,214,C5,B3,Mathematics,B2,Economics,B3,Further Mathematics,B2,3.8,Accounting,200,QUALIFIED
Blessing Abubakar,202528127358FG,254,A1,C5,Economics,E8,Commerce,F9,Further Mathematics,C5,2.4,Business Administration,180,REJECTED
Blessing Ibrahim,202578487392FG,189,C5,A1,Economics,B3,Commerce,C5,Further Mathematics,B3,3.8,Business Administration,180,QUALIFIED
Chukwuemeka Chukwu,202527448570HJ,229,C5,B3,Biology,C6,Chemistry,D7,Further Mathematics,C4,3.0,Nursing Science,200,ALTERNATIVE_COURSE
Chukwuemeka Ogundele,202586387829FG,202,D7,C5,Literature,B3,Government,C5,Further Mathematics,B3,3.2,Law,220,ALTERNATIVE_COURSE
Oluwaseun Nwosu,202503173109HJ,202,C4,B3,Biology,A1,Chemistry,C5,Further Mathematics,A1,4.0,Nursing Science,200,QUALIFIED
Chukwuemeka Okafor,202537170586FG,248,C4,C5,Economics,B3,Commerce,B3,Further Mathematics,C5,3.4,Business Administration,180,QUALIFIED
Ibrahim Chukwu,202511386338EG,238,C6,B3,Mathematics,A1,Physics,A1,Further Mathematics,B3,4.2,Computer Science,200,QUALIFIED
Peter Abubakar,202576122868FG,238,C5,B2,Mathematics,C5,Fine Art,C4,Further Mathematics,B2,3.4,Architecture,200,QUALIFIED
Victor Olawale,202556659398EG,255,C4,C4,Literature,E8,Government,D7,Further Mathematics,C4,2.4,Law,220,REJECTED
Solomon Okafor,202504908240FG,210,C6,E8,English Language,B3,Literature,E8,Further Mathematics,C4,2.4,Mass Communication,180,REJECTED
Aisha Chukwu,202589921075EG,233,B2,B3,Mathematics,C6,Economics,E8,Further Mathematics,C6,3.0,Accounting,200,ALTERNATIVE_COURSE
Peter Okonkwo,202593157279CF,199,B3,D7,Literature,B2,Government,B3,Further Mathematics,B3,3.6,Law,220,ALTERNATIVE_COURSE
Victor Abubakar,202566139060FG,221,C5,A1,Mathematics,C6,Fine Art,B3,Further Mathematics,C6,3.6,Architecture,200,QUALIFIED
Blessing Ogundele,202567998136FG,205,A1,C4,Mathematics,B2,Economics,C4,Further Mathematics,B2,3.8,Economics,190,QUALIFIED
Daniel Adeyemi,202568622783HJ,213,B2,B3,English Language,C4,Literature,C5,Further Mathematics,C4,3.4,Mass Communication,180,QUALIFIED
Chukwuemeka Eze,202565911665FG,230,C5,B2,English Language,C5,Literature,C5,Further Mathematics,B2,3.4,Mass Communication,180,QUALIFIED
Funmilayo Olawale,202579270335EG,181,B3,C4,Mathematics,A1,Economics,B3,Further Mathematics,F9,3.2,Accounting,200,ALTERNATIVE_COURSE
Josephine Okafor,202551477053EG,283,B2,A1,Biology,E8,Chemistry,E8,Further Mathematics,D7,2.6,Medicine and Surgery,280,REJECTED
Emmanuel Okonkwo,202598042043FG,174,C4,C6,Mathematics,C4,Economics,C5,Further Mathematics,F9,2.4,Accounting,200,REJECTED
Ngozi Olawale,202510463681FG,167,C4,E8,Mathematics,A1,Physics,C5,Further Mathematics,C5,3.0,Computer Science,200,REJECTED
Emmanuel Okafor,202538457620FG,250,D7,C4,Economics,B2,Commerce,C4,Further Mathematics,C4,3.0,Business Administration,180,ALTERNATIVE_COURSE
Blessing Ogundele,202546084325HJ,237,B3,B3,Biology,F9,Chemistry,F9,Further Mathematics,B3,2.4,Nursing Science,200,REJECTED
Grace Okonkwo,202539264957EG,231,A1,B3,Literature,E8,Government,C5,Further Mathematics,C5,3.2,Law,220,ALTERNATIVE_COURSE
Kelvin Nzekwe,202526292518CF,231,C5,C4,Mathematics,C5,Economics,B2,Further Mathematics,B2,3.4,Accounting,200,QUALIFIED
Adaeze Okonkwo,202547423122CF,209,B3,D7,Literature,C5,Government,C6,Further Mathematics,D7,2.8,Law,220,REJECTED
Emmanuel Abubakar,202517289752HJ,178,C5,C5,Mathematics,C5,Fine Art,C4,Further Mathematics,B2,3.2,Architecture,200,REJECTED
Daniel Okonkwo,202533312797FG,212,C4,B2,Economics,B2,Commerce,C4,Further Mathematics,E8,3.0,Business Administration,180,ALTERNATIVE_COURSE
Victor Okonkwo,202599988081HJ,186,D7,C4,Economics,C6,Commerce,C5,Further Mathematics,C6,2.8,Business Administration,180,ALTERNATIVE_COURSE
Blessing Chukwu,202568034764FG,244,C6,A1,Economics,F9,Commerce,C4,Further Mathematics,B3,3.0,Business Administration,180,ALTERNATIVE_COURSE
Tunde Olawale,202571812982HJ,204,B2,B3,Economics,D7,Commerce,C5,Further Mathematics,D7,3.0,Business Administration,180,REJECTED
Tunde Adeyemi,202545211175CF,181,B3,A1,English Language,C4,Literature,D7,Further Mathematics,D7,3.2,Mass Communication,180,REJECTED
Aisha Okonkwo,202502592222CF,198,C5,C5,Mathematics,F9,Economics,C5,Further Mathematics,B2,2.6,Economics,190,ALTERNATIVE_COURSE
Oluwaseun Bello,202509407778CF,224,B3,C5,English Language,E8,Literature,B3,Further Mathematics,B2,3.2,Mass Communication,180,ALTERNATIVE_COURSE
Chukwuemeka Adeleke,202590384983CF,190,D7,B2,Mathematics,C4,Fine Art,C4,Further Mathematics,C4,3.0,Architecture,200,ALTERNATIVE_COURSE
Funmilayo Eze,202551016224EG,181,B2,C5,Literature,A1,Government,D7,Further Mathematics,C5,3.4,Law,220,ALTERNATIVE_COURSE
Solomon Olawale,202516814721FG,218,C5,B3,Economics,A1,Commerce,C6,Further Mathematics,B3,3.8,Business Administration,180,QUALIFIED
Kelvin Adeyemi,202579469548FG,218,C4,C4,Biology,C5,Chemistry,C5,Further Mathematics,B2,3.2,Nursing Science,200,QUALIFIED
Funmilayo Bello,202543010713HJ,192,C5,C4,Literature,C5,Government,C4,Further Mathematics,C6,3.0,Law,220,BORDERLINE
Josephine Eze,202514488501FG,193,A1,B3,English Language,C6,Literature,B2,Further Mathematics,C5,3.8,Mass Communication,180,QUALIFIED
Victor Nzekwe,202577027278FG,218,B3,C4,Biology,E8,Chemistry,C6,Further Mathematics,B2,3.0,Nursing Science,200,ALTERNATIVE_COURSE
Victor Chukwu,202580395512FG,159,C6,C4,Economics,C5,Commerce,C6,Further Mathematics,B3,3.2,Business Administration,180,REJECTED
Fatima Adeleke,202514504617EG,160,B3,B3,Mathematics,C4,Physics,B2,Further Mathematics,C5,3.6,Computer Science,200,REJECTED
Blessing Anyanwu,202531780782EG,184,C4,E8,Biology,B2,Chemistry,B3,Further Mathematics,B2,3.2,Nursing Science,200,ALTERNATIVE_COURSE
Amaka Olawale,202582307681CF,202,E8,C5,Biology,C4,Chemistry,C6,Further Mathematics,B2,2.8,Nursing Science,200,ALTERNATIVE_COURSE
Blessing Adeyemi,202584094353EG,220,E8,C5,Mathematics,C4,Physics,A1,Further Mathematics,C4,3.0,Civil Engineering,210,ALTERNATIVE_COURSE
Daniel Adeyemi,202509881385FG,261,B3,B3,Mathematics,C4,Physics,B2,Further Mathematics,B2,3.8,Civil Engineering,210,QUALIFIED
Funmilayo Nzekwe,202558702070CF,240,B2,C5,Mathematics,B3,Physics,B2,Further Mathematics,A1,4.0,Civil Engineering,210,QUALIFIED
Tunde Adeleke,202554538179EG,204,A1,C4,English Language,B2,Literature,C4,Further Mathematics,C4,3.6,Mass Communication,180,QUALIFIED
Tunde Ibrahim,202533294562FG,209,C6,D7,Biology,C4,Chemistry,C4,Further Mathematics,C5,2.8,Medicine and Surgery,280,ALTERNATIVE_COURSE
Fatima Eze,202559928161FG,174,C4,A1,Biology,C4,Chemistry,B3,Further Mathematics,C4,3.6,Nursing Science,200,REJECTED
Funmilayo Bello,202582761539HJ,209,C5,C6,Mathematics,C4,Economics,C4,Further Mathematics,C4,3.0,Economics,190,QUALIFIED
Peter Olawale,202571997581HJ,199,C4,B3,English Language,C5,Literature,B2,Further Mathematics,C5,3.4,Mass Communication,180,QUALIFIED
Solomon Abubakar,202570132902EG,221,B3,C4,Literature,C4,Government,C5,Further Mathematics,C4,3.2,Law,220,QUALIFIED
Victor Eze,202594651909HJ,181,C4,B3,Economics,C4,Commerce,B2,Further Mathematics,C5,3.4,Business Administration,180,QUALIFIED
Aisha Olawale,202551403696FG,228,D7,A1,Literature,D7,Government,E8,Further Mathematics,A1,3.0,Law,220,REJECTED
Aisha Okonkwo,202556242201CF,263,C4,C4,English Language,B2,Literature,B2,Further Mathematics,B2,3.6,Mass Communication,180,QUALIFIED
Adaeze Olawale,202579692786HJ,206,C5,C4,Literature,C4,Government,F9,Further Mathematics,A1,2.8,Law,220,ALTERNATIVE_COURSE
Grace Musa,202584689500HJ,224,B3,B2,English Language,C5,Literature,C4,Further Mathematics,C6,3.4,Mass Communication,180,QUALIFIED
Daniel Ibrahim,202581891371FG,234,B2,C4,Biology,C5,Chemistry,B2,Further Mathematics,C5,3.4,Nursing Science,200,QUALIFIED
Chioma Adeleke,202556544209FG,195,A1,B3,Mathematics,C6,Fine Art,C4,Further Mathematics,C4,3.6,Architecture,200,BORDERLINE
Josephine Anyanwu,202590471281FG,217,B3,C5,Mathematics,C4,Fine Art,C4,Further Mathematics,C5,3.2,Architecture,200,QUALIFIED
Fatima Nzekwe,202592752437EG,210,B2,B3,Mathematics,D7,Physics,A1,Further Mathematics,B2,3.8,Civil Engineering,210,ALTERNATIVE_COURSE
Oluwaseun Olawale,202576637239FG,213,D7,B3,Mathematics,A1,Economics,B2,Further Mathematics,E8,3.2,Economics,190,REJECTED
Josephine Ibrahim,202583667428HJ,182,C5,C6,Mathematics,B2,Physics,B2,Further Mathematics,B3,3.6,Computer Science,200,BORDERLINE
Blessing Adeyemi,202585694544CF,210,B3,C6,Mathematics,B3,Physics,B3,Further Mathematics,C4,3.6,Computer Science,200,QUALIFIED
Peter Anyanwu,202538525800CF,227,C5,B3,Mathematics,C6,Physics,C5,Further Mathematics,C5,3.2,Civil Engineering,210,QUALIFIED
